submission_id,created_at,updated_at,source_type,is_open,is_partial,first_name,middle_name,last_name,gotyme_bank_account,email_address,referrer_full_name,referrer_gotyme_bank_account,referrer_email_address,accepted_terms_and_conditions,accepted_emails_and_notifications,full_name
6a291eac68e142eea47c9bfd,2026-06-10T08:22:07.238Z,2026-06-10T08:22:13.927Z,WEB,true,false,Hershey,Chocolate,Dela Cruz,003456789000,rgugol@mailinator.com,John Doe,123456789909,jdoe@mailinator.com,I accept,I accept,Hershey Chocolate Dela Cruz
6a291cb68883f8b37bc12cba,2026-06-10T08:13:45.036Z,2026-06-10T08:13:52.564Z,WEB,true,false,231323123,221323131,sdsaasdad,111111111111,1231231312@gmail.com,231323123123213123213213213213,123123132312,231321@gmail.com,I accept,I accept,231323123 221323131 sdsaasdad
6a291a008883f8b37bc12ac7,2026-06-10T08:02:11.173Z,2026-06-10T08:02:17.999Z,WEB,true,false,e121232121,e133,2313213213,123123213131,123123123123@gmail.com,12321321321,111111111111,dsadaas@gmail.com,I accept,I accept,e121232121 e133 2313213213
6a291815ae39acf3633efdce,2026-06-10T07:53:59.607Z,2026-06-10T07:54:06.645Z,WEB,true,false,asfafsf,fffsafaf,safaffas,111111111111,22132321321@gmail.com,1123123123123123,111111111111,4124124@gmail.com,I accept,I accept,asfafsf fffsafaf safaffas
6a291734ae39acf3633efd08,2026-06-10T07:50:14.653Z,2026-06-10T07:50:21.383Z,WEB,true,false,12312312,233123,1231231,111111111111,123132312@GMAIL.COM,123121321312,123131231312,12312312@GMAIL.COM,I accept,I accept,12312312 233123 1231231
6a29159cae39acf3633efa19,2026-06-10T07:43:27.160Z,2026-06-10T07:43:35.121Z,WEB,true,false,csfass,asafasa,sfsafafs,111111111111,wrqrrwq@gmail.com,wffafsfasfsa,111111111111,fdfsfsdfs@gmail.com,I accept,I accept,csfass asafasa sfsafafs
6a29143368e142eea47c9111,2026-06-10T07:37:28.562Z,2026-06-10T07:37:42.005Z,WEB,true,false,4124141421421,12444214,4412412,111111111111,424142@Gmail.com,221312312312,341244124141,ffeewewrewtwe@gmail.com,I accept,I accept,4124141421421 12444214 4412412
6a2913658883f8b37bc121c0,2026-06-10T07:34:00.022Z,2026-06-10T07:34:08.915Z,WEB,true,false,Patricia,Valderrama,Tan,123456778900,rgugol1@exist.com,Renzo Gugol,123456789087,ptan@exist.com,I accept,I accept,Patricia Valderrama Tan
6a29130568e142eea47c8ea1,2026-06-10T07:32:24.331Z,2026-06-10T07:32:31.135Z,WEB,true,false,1241141,41241241442141241,sdfsdfdfdsfsdfds,213123123213,fasffsafa@gmail.cm,efrwwrewrewrew,111111111111,asfafsa@gmail.com,I accept,I accept,1241141 41241241442141241 sdfsdfdfdsfsdfds
6a2910158883f8b37bc11fd1,2026-06-10T07:19:52.029Z,2026-06-10T07:19:58.737Z,WEB,true,false,Renzo,Mercado,Dela Cru,123456789000,rgugol@exist.com,Danny Fabella,123456789001,dfabella@exist.com,I accept,I accept,Renzo Mercado Dela Cru
6a29020b8883f8b37bc1183b,2026-06-10T06:19:57.404Z,2026-06-10T06:20:04.377Z,WEB,true,false,test,test,test,111111111111,fasfafafas@Gmail.com,fasfsafasfasfsafafafasf,212321321313,41424@Gmail.com,I accept,I accept,test test test
6a28dc17ae39acf3633ee429,2026-06-10T03:38:01.978Z,2026-06-10T03:38:09.673Z,WEB,true,false,Marj,B,Castil,12222111,marjcastil@gmail.com,John Doe,123456789101,marjcstl@gmail.com,I accept,I accept,Marj B Castil
6a28d3b5ae39acf3633ee279,2026-06-10T03:02:16.290Z,2026-06-10T03:02:24.278Z,WEB,true,false,Anjanette,Test,Acedera,823737727799,aacedera+14@exist.com,Jayjay,298373737777,mjpollente+221@exist.com,I accept,I accept,Anjanette Test Acedera
6a28bec38883f8b37bc1061f,2026-06-10T01:32:53.222Z,2026-06-10T01:33:00.459Z,WEB,true,false,Testtt,tsetetset,testset,645645645342,aacedera+13@exist.com,test,543543544343,jtandoc+2@exist.com,I accept,I accept,Testtt tsetetset testset
6a27ae7c87b07903377ae00a,2026-06-09T06:11:10.416Z,2026-06-09T06:11:16.940Z,WEB,true,false,Anjanette,er2,Acedera,423423423424,aacedera+12@exist.com,Jaymart,435345354535,jtandoc+1@exist.com,I accept,I accept,Anjanette er2 Acedera
6a27ad672a67ab5157b10c82,2026-06-09T06:06:34.645Z,2026-06-09T06:06:41.654Z,WEB,true,false,Anjanette,gsgd,Acedera,453453535353,aacedera+11@exist.com,Jaymart,543534535345,jtandoc@exist.com,I accept,I accept,Anjanette gsgd Acedera
6a27a4d587b07903377ad714,2026-06-09T05:29:59.084Z,2026-06-09T05:30:06.034Z,WEB,true,false,Anjanette,test,Acedera,324324342423,aacedera+10@exist.com,jaymart,345345345345,jtandoc@exist.com,I accept,I accept,Anjanette test Acedera
